X[Hz],50V,100V,200V,Background
23.5,1.3601789999999998e-05,5.144283e-06,4.459588e-06,1.65114e-08
23.625,1.589072e-05,4.709639000000001e-06,3.971708e-06,1.7311599999999998e-08
23.75,1.4768879999999999e-05,4.7834199999999995e-06,4.19392e-06,1.565578e-08
23.875,1.48203e-05,4.724209e-06,4.504434e-06,1.519607e-08
24.0,1.527193e-05,4.658711e-06,3.3545870000000003e-06,1.4314899999999999e-08
24.125,1.486125e-05,3.699052e-06,3.768086e-06,1.522107e-08
24.25,1.4149279999999999e-05,4.848307e-06,4.0904700000000005e-06,1.6464259999999998e-08
24.375,1.7751370000000002e-05,5.053861999999999e-06,3.7373610000000004e-06,1.597143e-08
24.5,1.409543e-05,4.073879e-06,3.925947e-06,1.767697e-08
24.625,1.2957349999999999e-05,5.099322000000001e-06,3.964494e-06,1.953382e-08
24.75,1.6628879999999998e-05,5.183225e-06,3.677165e-06,1.574254e-08
24.875,1.511024e-05,4.178109e-06,2.6641e-06,1.709027e-08
25.0,1.089817e-05,4.04732e-06,4.63029e-06,1.618814e-08
25.125,1.5220979999999999e-05,4.758452e-06,2.9543150000000004e-06,1.708076e-08
25.25,1.564374e-05,4.869943e-06,3.756443e-06,1.989702e-08
25.375,1.41269e-05,4.170342e-06,3.3732010000000004e-06,1.529551e-08
25.5,1.3851889999999998e-05,5.377653e-06,3.9182870000000005e-06,1.6122989999999998e-08
25.625,1.580495e-05,4.761577e-06,3.555643e-06,1.804604e-08
25.75,1.4356010000000002e-05,4.959672e-06,3.8553149999999995e-06,1.7427509999999998e-08
25.875,1.67809e-05,4.284763e-06,3.470063e-06,2.003422e-08
26.0,1.481881e-05,4.750512e-06,3.098814e-06,2.132193e-08
26.125,1.4231489999999998e-05,3.9211000000000005e-06,3.4579199999999997e-06,1.659636e-08
26.25,1.4994749999999999e-05,4.058016e-06,2.47316e-06,1.5738510000000002e-08
26.375,1.488047e-05,4.8701440000000005e-06,3.2978179999999997e-06,1.7866330000000002e-08
26.5,1.509376e-05,5.278631e-06,3.897425e-06,1.7702869999999998e-08
26.625,1.610618e-05,5.098939e-06,3.336528e-06,1.515926e-08
26.75,1.873218e-05,4.894471e-06,3.333163e-06,1.2507299999999999e-08
26.875,1.696598e-05,3.379743e-06,3.918078e-06,1.7126669999999996e-08
27.0,1.629029e-05,4.382929e-06,3.533549e-06,1.586028e-08
27.125,1.359453e-05,4.315116e-06,3.7173079999999998e-06,1.681089e-08
27.25,1.4397379999999999e-05,5.135102000000001e-06,3.200618e-06,1.709485e-08
27.375,1.5141549999999999e-05,4.025759e-06,3.2708210000000005e-06,1.695853e-08
27.5,1.4414000000000001e-05,5.804487e-06,3.410905e-06,1.858841e-08
27.625,1.207136e-05,4.344523e-06,3.4657299999999997e-06,1.663691e-08
27.75,1.1205930000000001e-05,4.504022e-06,2.533559e-06,1.568341e-08
27.875,1.3143370000000002e-05,5.307966e-06,3.824001e-06,1.6987540000000002e-08
28.0,1.315694e-05,4.0080360000000006e-06,3.330517e-06,1.166103e-08
28.125,1.23851e-05,3.681979e-06,3.7292829999999998e-06,1.451817e-08
28.25,1.106289e-05,3.01423e-06,3.596396e-06,1.547732e-08
28.375,1.463826e-05,4.9167e-06,3.738426e-06,1.5624309999999998e-08
28.5,1.2381019999999999e-05,4.665427e-06,3.594317e-06,1.601672e-08
28.625,1.516105e-05,4.359293e-06,3.2998340000000002e-06,1.5004709999999998e-08
28.75,1.3526459999999999e-05,4.3359820000000004e-06,2.681111e-06,1.5009e-08
28.875,1.2516199999999999e-05,4.627732e-06,3.772394e-06,1.3961509999999999e-08
29.0,1.6066110000000003e-05,4.440567e-06,3.371207e-06,1.785438e-08
29.125,1.3125220000000002e-05,4.447701e-06,3.287343e-06,1.358998e-08
29.25,1.110508e-05,4.767715e-06,3.589317e-06,1.583212e-08
29.375,1.224816e-05,4.4589449999999995e-06,3.564189e-06,1.8196759999999997e-08
29.5,1.503328e-05,4.021915000000001e-06,3.3621929999999998e-06,1.648361e-08
29.625,1.321527e-05,4.575634e-06,3.296418e-06,1.284578e-08
29.75,1.2784210000000001e-05,3.982531e-06,3.0325619999999998e-06,1.499306e-08
