---Measurement Setup-----------------------------------------------------------------
Device Type: Bode100
Serial Number: LG278C
Date: 5/18/2016
Time: 5:22 PM
Start Frequency (Hz): 10
Stop Frequency (Hz): 40000000
Number of Points: 1601
Sweep Mode: Logarithmic
Reference Resistance (Ohm): 50
Source Level (dBm): -10
Receiver Bandwidth (Hz): 300
Reference Signal: SourceVoltage
Attenuator CH1 (dB): 10
Attenuator CH2 (dB): 10
Input Impedance CH1 (Ohm): 1M
Input Impedance CH2 (Ohm): 1M
Probe CH1: 1:1
Probe CH2: 1:1
-------------------------------------------------------------------------------------
Frequency (Hz),TR1: Gain (Real),TR1: Gain (Imag),TR1: Gain (dB),TR1 (Without piezo): Gain (Real),TR1 (Without piezo): Gain (Imag),TR1 (Without piezo): Gain (dB),TR1 (With piezo): Gain (Real),TR1 (With piezo): Gain (Imag),TR1 (With piezo): Gain (dB),TR1 (1u cap): Gain (Real),TR1 (1u cap): Gain (Imag),TR1 (1u cap): Gain (dB),TR2: Gain (Real),TR2: Gain (Imag),TR2: Gain Unwrapped (Degree),TR2 (1u cap): Gain (Real),TR2 (1u cap): Gain (Imag),TR2 (1u cap): Gain Unwrapped (Degree)
16.8634260389508,0.991657375821017,0.0257136599943595,-0.0698480120339216,0.991480937746439,0.0253955067143164,-0.0714643150642257,0.991640070713533,0.0256640218939787,-0.0700107420452027,0.991657375821017,0.0257136599943595,-0.0698480120339216,0.991657375821017,0.0257136599943595,1.48534581410161,0.991657375821017,0.0257136599943595,1.48534581410161
17.0244111686602,0.991419803658545,0.0252595857363902,-0.0720299484002319,0.991808704254356,0.02559413032864,-0.0685505815918948,0.991357041889149,0.0252569055116054,-0.072580066699726,0.991419803658545,0.0252595857363902,-0.0720299484002319,0.991419803658545,0.0252595857363902,1.45947721897251,0.991419803658545,0.0252595857363902,1.45947721897251
17.1869331279514,0.99164784327672,0.0251156468171778,-0.0700656072221324,0.991722333979228,0.0251223000530238,-0.0694121074208172,0.991505348060529,0.0252864595938512,-0.071275010175374,0.99164784327672,0.0251156468171778,-0.0700656072221324,0.99164784327672,0.0251156468171778,1.45083055051309,0.99164784327672,0.0251156468171778,1.45083055051309
17.3510065880252,0.991586723031361,0.0248137957821051,-0.0706671624422829,0.991712955235921,0.0247493266703152,-0.0695762838314127,0.99161152210758,0.024796125468315,-0.0704539408372325,0.991586723031361,0.0248137957821051,-0.0706671624422829,0.991586723031361,0.0248137957821051,1.43348945759107,0.991586723031361,0.0248137957821051,1.43348945759107
17.5166463601397,0.991815603539285,0.0246534493052749,-0.0686987463778319,0.991786769425934,0.0247595871659342,-0.0689279693123294,0.991752588205513,0.0244387448966542,-0.0692967960014873,0.991815603539285,0.0246534493052749,-0.0686987463778319,0.991815603539285,0.0246534493052749,1.42390155898463,0.991815603539285,0.0246534493052749,1.42390155898463
17.6838673969472,0.991635739503188,0.0241411094259132,-0.0703834307916008,0.991955069904761,0.0245194021222357,-0.067507275301617,0.991582484788499,0.0243657792458619,-0.070801525472023,0.991635739503188,0.0241411094259132,-0.0703834307916008,0.991635739503188,0.0241411094259132,1.39457511416108,0.991635739503188,0.0241411094259132,1.39457511416108
17.8526847938442,0.991644265995376,0.0241542527829989,-0.0703059887621062,0.991691729365673,0.0241302725630256,-0.0698956199959741,0.991762708565844,0.0240936110956919,-0.0692821290657004,0.991644265995376,0.0241542527829989,-0.0703059887621062,0.991644265995376,0.0241542527829989,1.39532208209479,0.991644265995376,0.0241542527829989,1.39532208209479
18.023113790334,0.991732912878635,0.0238500371339486,-0.0695944657444477,0.991757529161963,0.0240886730858547,-0.0693285137341363,0.991863140658856,0.0238765371058025,-0.0684490464020252,0.991732912878635,0.0238500371339486,-0.0695944657444477,0.991732912878635,0.0238500371339486,1.37763212678226,0.991732912878635,0.0238500371339486,1.37763212678226
18.1951697714022,0.991837231742818,0.0236330132278502,-0.0687268538877786,0.991654436804596,0.0237235603736813,-0.0703079699421729,0.991755077938314,0.0236313077499465,-0.0694462827137367,0.991837231742818,0.0236330132278502,-0.0687268538877786,0.991837231742818,0.0236330132278502,1.36495757651847,0.991837231742818,0.0236330132278502,1.36495757651847
18.3688682689061,0.991853628015609,0.0232363058207758,-0.0686653844860859,0.991784062665647,0.0233197426562845,-0.0692571300290327,0.991753968291113,0.0232130430917495,-0.0695424610596912,0.991853628015609,0.0232363058207758,-0.0686653844860859,0.991853628015609,0.0232363058207758,1.34203146184534,0.991853628015609,0.0232363058207758,1.34203146184534
